City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Ilulissat,GL,2022-04-17 02:58:22,69.2167,-51.1,-8.81,91,8,6.24
278,Mandera,KE,2022-04-17 02:58:22,3.9366,41.867,80.53,71,77,9.22
279,Taganak,PH,2022-04-17 02:58:23,6.0833,118.3,86.14,74,51,7.94
280,Una,IN,2022-04-17 02:58:24,20.8167,71.0333,83.84,52,0,8.59
281,Tokmak,UA,2022-04-17 02:58:24,47.2514,35.7058,44.1,87,99,3.15
282,Tyrma,RU,2022-04-17 02:58:25,50.0833,132.1667,34.57,86,100,4.34
283,Athabasca,CA,2022-04-17 02:58:25,54.7169,-113.2854,27.48,91,100,6.13
284,Sidi Ali,DZ,2022-04-17 02:58:26,36.0998,0.4206,56.35,64,4,6.62
285,Bereda,ES,2022-04-17 02:58:27,43.2686,-7.5406,49.14,100,65,1.81
286,Kavieng,PG,2022-04-17 02:58:27,-2.5744,150.7967,84.85,70,28,8.34
287,Ponta Delgada,PT,2022-04-17 02:58:28,37.7333,-25.6667,61.52,82,20,13.8
288,Dubai,AE,2022-04-17 02:58:28,25.2582,55.3047,82.33,57,14,3.44
289,Mitake,JP,2022-04-17 02:58:29,35.4167,137.1333,55.54,72,100,2.06
290,Brewster,US,2022-04-17 02:58:29,41.3973,-73.6171,44.28,93,99,6.06
291,Tulun,RU,2022-04-17 02:58:30,54.5611,100.5792,55.89,44,87,6.78
292,Berlevag,NO,2022-04-17 02:58:30,70.8578,29.0864,37.2,88,100,29.66
293,Buzmeyin,TM,2022-04-17 02:58:31,38.0507,58.2056,57.27,77,100,12.93
294,Dandong,CN,2022-04-17 02:58:32,40.1292,124.3947,64.83,27,2,9.08
295,Meulaboh,ID,2022-04-17 02:58:32,4.1363,96.1285,84.45,72,39,1.57
296,Chokwe,MZ,2022-04-17 02:58:33,-24.5333,32.9833,67.78,97,100,10.18
